"id","city","state","lat","long"
314,"Manson","WA","47.8858","-120.1563"
315,"Sprague","WA","47.3048","-117.9713"
316,"Cosmopolis","WA","46.9541","-123.7725"
317,"Redondo","WA","47.3484","-122.3235"
318,"Waller","WA","47.2035","-122.3699"
319,"Addy","WA","48.3588","-117.8372"
320,"Matlock","WA","47.2379","-123.4079"
321,"Longbranch","WA","47.2257","-122.7739"
322,"North Bonneville","WA","45.6425","-121.9689"
323,"Pomeroy","WA","46.4737","-117.5967"
324,"Colville","WA","48.5454","-117.8986"
325,"Palmer","WA","47.3143","-121.8923"
326,"Skyway","WA","47.4915","-122.2543"
327,"Medina","WA","47.6256","-122.2338"
328,"Algona","WA","47.2820","-122.2503"
329,"Nine Mile Falls","WA","47.7757","-117.5461"
330,"Black Diamond","WA","47.3130","-122.0181"
331,"Gold Bar","WA","47.8566","-121.6927"
332,"Mesa","WA","46.5737","-119.0013"
333,"Cavalero Corner","WA","47.9782","-122.1349"
334,"Lilliwaup","WA","47.4634","-123.1143"
335,"La Conner","WA","48.3927","-122.4945"
336,"Sheridan Beach","WA","47.7448","-122.2882"
337,"Emden","WA","47.1046","-118.1227"
338,"Markham","WA","46.9155","-123.9814"
339,"Eltopia","WA","46.4587","-119.0172"
340,"Stevenson","WA","45.6943","-121.8932"
341,"Greenwater","WA","47.1465","-121.6320"
342,"Copalis Beach","WA","47.1205","-124.1722"
343,"Roosevelt","WA","47.8923","-122.0123"
344,"La Crosse","WA","46.8014","-117.9026"
345,"Summit","WA","47.1694","-122.3628"
346,"Ohop","WA","46.9457","-122.1907"
347,"Malden","WA","47.2296","-117.4731"
348,"Beverly","WA","46.8368","-119.9331"
349,"Prosser","WA","46.2066","-119.7662"
350,"Lake Roesiger","WA","47.9839","-121.9129"
351,"Fern Prairie","WA","45.6370","-122.3963"
352,"Maple Valley","WA","47.3660","-122.0369"
353,"Gifford","WA","48.3063","-118.1464"
354,"Auburn","WA","47.3041","-122.2110"
355,"Burton","WA","47.3890","-122.4607"
356,"Kewa","WA","48.2010","-118.2786"
357,"Carrolls","WA","46.0715","-122.8623"
358,"Bayne","WA","47.2951","-121.9096"
359,"East Cathlamet","WA","46.1968","-123.3580"
360,"Purdy","WA","47.3938","-122.6114"
361,"Kapowsin","WA","46.9727","-122.2272"
362,"Ketron","WA","47.1569","-122.6343"
363,"Connell","WA","46.6626","-118.8404"
364,"Lincoln","WA","47.8290","-118.4150"
365,"Clear Lake","WA","48.4561","-122.2378"
366,"Kittitas","WA","46.9837","-120.4192"
367,"Bucoda","WA","46.7968","-122.8680"
368,"Ardenvoir","WA","47.7373","-120.3690"
369,"Ellisport","WA","47.4204","-122.4354"
370,"Bainbridge Island","WA","47.6439","-122.5434"
371,"Danville","WA","48.9938","-118.5068"
372,"Hazelwood","WA","47.5509","-122.1915"
373,"Holly","WA","47.5576","-122.9785"
374,"Valley","WA","48.1730","-117.7245"
375,"Republic","WA","48.6477","-118.7326"
376,"Odessa","WA","47.3326","-118.6895"
377,"Edgewood","WA","47.2309","-122.2832"
378,"Burlington","WA","48.4677","-122.3298"
379,"Rice","WA","48.4288","-118.1703"
380,"Marengo","WA","47.0257","-118.1886"
381,"Cusick","WA","48.3328","-117.2962"
382,"Virginia","WA","47.7073","-122.6374"
383,"Concrete","WA","48.5371","-121.7512"
384,"Langley","WA","48.0337","-122.4084"
385,"Othello","WA","46.8222","-119.1651"
386,"North City","WA","47.7557","-122.3135"
387,"Hazel Dell","WA","45.6797","-122.6553"
388,"Colfax","WA","46.9031","-117.3394"
389,"Metaline","WA","48.8540","-117.3899"
390,"Randle","WA","46.5351","-121.9570"
391,"Millwood","WA","47.6856","-117.2806"
392,"Snoqualmie Pass","WA","47.4014","-121.4110"
393,"Bangor","WA","47.7209","-122.7460"
394,"Thorp","WA","47.0655","-120.6709"
395,"Tahlequah","WA","47.3326","-122.5073"
396,"Prescott","WA","46.2988","-118.3125"
397,"Buckley","WA","47.1615","-122.0200"
398,"Dalkena","WA","48.2449","-117.2377"
399,"Leland","WA","47.8918","-122.8866"
